"","RoadID","DirectionOfRoad","Number_of_lanes","Number_of_Backward_lanes","Number_of_Forward_lanes"
"1","8461244180","Both","6","-4","2"
"2","428043451","Backward","3","-3","0"
"3","1335864831","Backward","2","-2","0"
"4","5781502783","Both","5","-3","2"
"5","5326884952","Both","9","-3","6"
"6","8461244179","Both","4","-2","2"
"7","1335864828","Forward","6","0","-6"
"8","428519089","Both","7","-3","4"
"9","1335864835","Backward","4","-4","0"
"10","5781502784","Both","6","-2","4"
"11","5326884951","Both","6","-2","4"
"12","5781502793","Both","5","-3","2"
"13","4355192737","Backward","6","-6","0"
"14","5781502783","Both","5","-3","2"
"15","8460193543","Forward","4","0","4"